disarm_id,name,url,summary,provides_tools,sector,primary_role,secondary_role,primary_subject,secondary_subject,volunteers,region,country,rand_list,credco_list,carnegie_list,twitter_handle,notes,Unnamed: 18
G000154,Credibility Coalition: Misinfosec Working Group (MisinfosecWG),https://misinfocon.com/misinformation-has-stages-7e00bd917108,"The Credibility Coalition’s Misinfosec Working Group (“MisinfosecWG”) maps information security principles onto misinformation. Their current work is to develop a tactics, techniques and procedures (TTP) based framework that gives misinformation researchers and responders a common language to discuss and disrupt misinformation incidents.",,Civil Society/NGO,Research (primary/secondary),,,,,North America,USA,,N,Y,,,
G000155,CREST,crestresearch.ac.uk,,,Education/academia,Research (primary/secondary),,,,,Europe,UK,,N,N,,,
G000156,CrowdTangle,https://www.crowdtangle.com/,"CrowdTangle is owned by Facebook and offers digital strategic communications services. Among many of its services, CrowdTangle provides platform access which allows users to report false news.",Yes,Technology,,,,,,North America,USA,,N,Y,,,
G000157,CS-ISAO,,,,,,,,,,,,,,,,,
G000158,CTI League Disinformation Team,https://cti-league.com/,,,Civil Society/NGO,Countermeasures/response,,,,Y,Global,,,N,N,,,
G000159,CUNY,,,,,,,,,,,,,,,,,
G000160,CUNY,,,Yes,,,,,,,,,,,,,,
G000161,CUNY: News Integrity Initiative,https://www.journalism.cuny.edu/centers/tow-knight-center-entrepreneurial-journalism/news-integrity-initiative/,The News Integrity Initiative (NII) at the Newmark J-School was launched in 2017 to advance media literacy and increase trust in journalism.,,Education/academia,Societal Resilience,,,,,North America,USA,,Y,Y,,,
G000162,Cyabra,www.cyabra.com,"Cyabra has developed AI-based technologies to identify bots, sockpuppets and trolls in social media platforms, as well as Deep Learning tech against visual manipulations (Deepfakes and GANs) in real-time. Using this technology, Cyabra is able to outline the scope of a disinformation attack within a day rather than the several days it may take human analysts working manually. This elevated timeline provides valuable early detection; an attack identified in real-time offers an opportunity for counter-action or counter-narratives.",Yes,Technology,,,,,,Global,,,N,Y,,,
G000163,Cyan Forensics,https://www.cyanforensics.com,,Yes,Technology,,,,,,Europe,UK,,,,,,
G000164,Czech Elves,https://www.facebook.com/cestielfoveofficial/,,,Civil Society/NGO,,,,,Y,Europe,Czech Republic,,N,N,,,
G000165,Czech Pirate Party (Greens/EFA),,,,,,,,,,,,,,,,,
G000166,Dagens Nyheter (Faktist),https://www.dn.se/,"Faktist is the fact-checking project of Dagens Nyheter, a Swedish newspaper and a former member of the International Fact-Checking Network.",,Media,Fact checking,Journalism,,,,Europe,Sweden,,Y,Y,,,
G000167,DARPA,,,,Defence/military,,,,,,,,,,,,,
G000168,Darwin AI,https://www.darwinai.com,"The Darwin AI team has developed an “Automatic Disinformation Assessment” engine. It is a large scale, bidirectional language model that can detect the stance of an article. The project had an accuracy of 90.01%, which surpasses general benchmarks in the industry. The tool was able to determine whether or not a document agrees, disagrees, or takes no stance towards a specific claim.",Yes,Technology,,,,,,North America,Canada,,N,Y,,,
G000169,Data & Society,https://datasociety.net/research/media-manipulation/,"Data & Society’s Media Manipulation & Disinformation research examines how different groups use the participatory culture of the internet to turn the strengths of a free society into vulnerabilities, ultimately threatening expressive freedoms and civil rights. Efforts to exploit technical, social, economic, and institutional configurations of media can catalyze social change, sow dissent, and challenge the stability of social institutions.",,Civil Society/NGO,Research (primary/secondary),,,,,North America,USA,,N,N,,,
G000170,Data & Society Research Institute: Disinformation Action Lab,https://datasociety.net/research/disinformation-action-lab/,The Disinformation Action Lab (DAL) at Data & Society forges new approaches to address the complex dynamics underpinning the spread of propaganda and disinformation.,,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,North America,USA,,N,Y,,,
G000171,Data & Society Research Institute: Media Manipulation Initiative,https://datasociety.net/research/media-manipulation/,"Data & Society's Media Manipulation Initiative looks at how various qualities of media environments and technologies can be exploited to destabilize democratic, social, and economic institutions. The initiative has produced reports on algorithmic accountability, source hacking, weaponized advertising technology, the amplification of extremist content, and alternative facts, among other topics. Its affiliates have also produced a report on deepfakes and the history of audiovisual manipulation.",,Education/academia,Research (primary/secondary),,,,,North America,USA,,N,Y,,,
G000172,Datalyrics,,,,,,,,,,,,,Y,N,,,
G000173,dBunk(r),,,,,,,,,,,,,Y,N,,,
G000174,DCMS,,,,Government,,,,,,,,,,,,,
G000175,Debunk EU,http://debunk.eu/,"DEBUNK is a Lithuanian initiative composed of media organizations, strategic communications professionals, researchers, and technologists that have developed an artificial intelligence tool to identify disinformation within 2 minutes.",Yes,Civil Society/NGO,Fact checking,Journalism,,,,Europe,Lithuania,,Y,Y,,,
G000176,Deep Freeze,,,,,,,,,,,,,Y,N,,,
G000177,Deep Trust Alliance,,,,,,,,,,,,,Y,N,,,
G000178,Deepnews.ai,,,,,,,,,,,,,Y,N,,,
G000179,DeepSeer,https://deepseer.ai,DeepSeer provides a platform for social media data analysis and visualization by tracking and mapping online influencers. Their toolset can help identify and track the spread of disinformation on the web. DeepSeer offers measurement tools for the impact of online communications and messaging; enabling assessment of the impact and efficacy of counter disinformation campaigns.,Yes,Technology,,,,,,Europe,,,N,Y,,,
G000180,Deeptrace,www.Deeptracelabs.com,Deeptrace is a company developing technologies to detect and monitor synethic or manipulated media (deepfakes).,Yes,Technology,,,,,,Global,,,Y,Y,,,
G000181,DeFacto,https://defacto.space,,,,,,,,,,,,,,,,
G000182,Defending Democracy,https://defending-democracy.org,"Defending Democracy is an independent, nonpartisan, transatlantic initiative. that works to support and defend basic values and fundamental freedoms and rights. Regarding internal threats, Defending Democracy focuses on defending democracy, rule of law and human rights. Regarding external threats, Defending Democracy focuses on deterring disinformation, cyber-attacks and political warfare.",,Civil Society/NGO,,,Democracy,Civil Liberties (human rights),,Global,,,N,Y,,,
G000183,Delfi Melo Detekto,https://www.delfi.lt/news/melo-detektorius/,,,,,,disinformation,,,,Lithuania,,,,,,
G000184,Demagog Poland,https://demagog.org.pl/,,,Civil Society/NGO,,,disinformation,,,Europe,Poland,,,,,,
G000185,Demagog.cz,https://demagog.cz/,Demagog.cz conducts fact-checking of statements made by politicians and public figures in the Czech Republic. The project is a member of the International Fact-Checking Network.,,Civil Society/NGO,Fact checking,Journalism,,,,Europe,Czech Republic,,Y,Y,,,
G000186,Demaskuok,https://demaskuok.lt/en/main-page/,"Demaskuok searches the information ecosystem of the Baltic states for disinformation and propaganda, utilizing an AI tool to flag suspected disinformation, and a network of human fact checkers to verify or discredit flagged content.",Yes,Technology,,,,,,Europe,Lithuania,,N,Y,,,
G000187,Democracy Fund,,,,,,,,,,,,,,,,,
G000188,Demos - Centre for the Analysis of Social Media,https://demos.co.uk/research-area/casm/,,,Civil Society/NGO,,,,,,,,,,,,,
G000189,Detecteur Rumeurs,https://www.sciencepresse.qc.ca/detecteur-rumeurs,Detecteur Rumeurs is the fact-checking arm of the Montreal-based media company Agence Science Presse.,,Media,Fact checking,Journalism,,,,North America,Canada,,Y,Y,,,
G000190,Detector de Mentiras,https://lasillavacia.com/,Detector de Mentiras (Lie Detector) is a Colombian fact-checking project run by La Silla Vacía and a member of the International Fact-Checking Network.,,Media,Fact checking,Journalism,,,,South America,Colombia,,Y,Y,,,
G000191,DFID,,,,,,,,,,,,,,,,,
G000192,DHS,,,,,,,,,,,,,,,,,
G000193,Digit Eye India,https://digiteye.in/,Digiteye India is an Indian fact-checking organization and a member of the International Fact-Checking Network.,,Civil Society/NGO,Fact checking,Journalism,,,,Asia,India,,Y,Y,,,
G000194,Digital Polarization Initiative,https://www.aascu.org/AcademicAffairs/ADP/DigiPo/,"The Digital Polarization Initiative, or “DigiPo”, is AASCU American Democracy Project's national effort to build student civic, information and web literacy by having students participate in a broad, cross-institutional project to fact-check, annotate, and provide context to the different news stories that show up in Twitter and Facebook feeds.",,Civil Society/NGO,Fact checking,Education (public),,,,North America,USA,,N,Y,,,
G000195,Digital Sisters; Stop Online Violence Against Women (SOVAW),https://en.wikipedia.org/wiki/Shireen_Mitchell,,,,,,,,,,,,,,,,
G000196,Dirt Protocol,,,,,,,,,,,,,Y,N,,,
G000197,Disinfo Cloud,https://disinfocloud.com,"Disinfo Cloud is an open source platform funded and supported by the U.S. Department of State’s Global Engagement Center (GEC) and maintained by Park Capital Investment Group LLC (Park Advisors), an implementing partner of the GEC. Disinfo Cloud aims to provide relevant stakeholders an overview of the tools and technologies available to help push back against foreign propaganda and disinformation.",Yes,Government,,,,,,North America,USA,,N,Y,,,
G000198,Disinformation Tracker,https://www.disinformationtracker.org,"Disinformation Tracker is an interactive map that seeks to support human rights defenders in Sub-Saharan Africa by tracking and analysing all laws, policies and other government actions on disinformation across Sub-Saharan Africa.",,Civil Society/NGO,Public Policy,,,,,Africa,,,N,Y,,,
G000199,Dispute Finder,,,,,,,,,,,,,Y,N,,,
G000200,Doğruluk Payı,,,,,,,,,,,,,Y,N,,,
G000201,DoubleVerify,,,,,,,,,,,,,,,,,
G000202,dpa-Faktencheck,https://www.dpa.com/de/unternehmen/faktencheck/,dpa-Faktencheck is the fact-checking arm of the German news organization Deutsche Presse-Agentur GmbH.,,Media,Fact checking,Journalism,,,,Europe,Germany,,Y,Y,,,
G000203,DQ Institute,https://www.dqinstitute.org/,"With the support of the World Economic Forum, DQ Institute develops global standards for digital intelligence and literacy and develops strategies for education and outreach on these issues. DQI has developed a framework for thinking about digital intelligence and is conducting impact and research assessments to understand the impact of digital technologies and to assess digital intelligence skills around the world.",,Civil Society/NGO,Societal Resilience,,,,,Global,,,N,Y,,,
G000204,DROG,https://aboutbadnews.com/,"DROG is a nonprofit that fosters awareness and builds resilience against disinformation through its Bad News game, workshops, and lectures. Bad News is a social impact game that allows individuals to experience the spread of disinformation and see its impact on society.",,Civil Society/NGO,Societal Resilience,,,,,Europe,Netherlands,,Y,Y,,,
G000205,Dubawa,https://www.dubawa.org/,DUBAWA is a Nigerian fact-checking organization and a member of the International Fact-Checking Network.,,Civil Society/NGO,Fact checking,Journalism,,,,Africa,Nigeria,,Y,Y,,,
G000206,Duke Reporters Lab / Jigsaw,,,Yes,,,,,,,,,,,,,,
G000207,Duke Share the Facts Widget,,,,,,,,,,,,,Y,N,,,
G000208,Duke Tech & Check Cooperative,,,,,,,,,,,,,Y,N,,,
G000209,Duke University: DeWitt Wallace Center for Media & Democracy,https://reporterslab.org/,"The DeWitt Wallace CMD runs the Duke Reporters' Lab, which conducts research on fact-checking and technological tools to aid fact-checkers. The lab maintains a comprehensive list of fact-checking organizations around the world and runs the Duke Tech & Check Cooperative, which aims to automate fact-checking.",Yes,Education/academia,Research (primary/secondary),Fact checking,,,,North America,USA,,N,Y,,,
G000210,e-Enfance (e-E),https://www.e-enfance.org/,"e-E offers training on risks and threats in cyberspace and best practices for navigating digital spaces to kids in school, their parents, and professionals in the workforce. The platform also offers a free and confidential hotline and message service on Net Ecoute where the public can call in to receive assistance and counseling in the face of cyber threats.",,Civil Society/NGO,Societal Resilience,,,,,Europe,France,,N,Y,,,
G000211,East STRATCOM Task Force: EUvsDisinfo,https://euvsdisinfo.eu/,"The East StratCom Task Force was established to respond to Russian influence operations in Eastern Europe. The task force's flagship project, EUvsDisinfo, monitors and catalogues cases of pro-Russian disinformation and conducts research and analysis on the methods and practices of disinformation and emerging technologies like deepfakes. The task force also trains EU and member state institutions and civil society organizations on disinformation and raises awareness about disinformation in the context of European elections.",,Government,Fact checking,Research (primary/secondary),,,,Europe,,,N,Y,,,
G000212,Eastern Europe Studies Centre (EESC),http://www.eesc.lt/en/,EESC conducts research and analysis on policy issues affecting Eastern Europe and engages the policy community in trainings and seminars on democratic transition. EESC administers a Democracy and Development Assistance Fund to support individuals and organizations in Eastern Europe working to support democracy. Its experts have written on Russian influence operations in Eastern European countries. EESC is also part of the Center for European Policy Analysis's #DisinfoNet.,,Civil Society/NGO,Research (primary/secondary),Public Policy,Democracy,Civil Liberties (human rights),,Europe,Lithuania,,N,Y,,,
G000213,EastWest Institute: Global Cooperation in Cyberspace (EWI),https://www.eastwest.ngo/,"EWI is a network of experts that engage in conflict resolution and prevention and provide research and analysis on global challenges to peace and security. EWI’s program on Global Cooperation in Cyberspace ""seeks to reduce conflict, crime and other disruptions in cyberspace and promote stability, innovation and inclusion"" by convening multistakeholder summits, organizing collaborative working groups, and mobilizing around the adoption of global norms in cyberspace.",,Civil Society/NGO,Public Policy,Research (primary/secondary),Democracy,Civil Liberties (human rights),,Global,,,N,Y,,,
G000214,EC,,,,,,,,,,,,,,,,,
G000215,Ecuador Chequea,http://www.ecuadorchequea.com/,,,,Fact checking,Journalism,,,,South America,Ecuador,,Y,N,,,
G000216,EDPS-EU,,,,,,,,,,,,,,,,,
G000217,Ekspress Meedia / Eesti Päevaleht,https://epl.delfi.ee/kategooria/86056905/faktikontroll-1,,,Civil Society/NGO,,,disinformation,,,Europe,Estonia,,,,,,
G000218,El poder de elegir,,,,,,,,,,,,,Y,N,,,
G000219,El Sabueso,https://www.animalpolitico.com/elsabueso-rss,"El Sabueso is the fact-checking section of Animal Político, a Mexican media organization, and a member of the International Fact-Checking Network.",,Media,Fact checking,Journalism,,,,South America,Mexico,,Y,Y,,,
G000220,Election Integrity Partnership,https://www.eipartnership.net/,"The Election Integrity Partnership is a coalition of research entities focused on supporting real-time information exchange between the research community, election officials, government agencies, civil society organizations, and social media platforms.",,Education/academia,Research (primary/secondary),Public Policy,,,,North America,USA,,N,Y,,,
G000221,Electoral Commission (UK),https://www.electoralcommission.org.uk/,"The Electoral Commission is an independent body which regulates the funding of political parties, individual party members, and candidates, as well as organisations campaigning in referenda. It is distinct from other regulators for being answerable to Parliament. It also enforces inclusion of imprints of printed election material under the Political Parties, Elections and Referendums Act 2000.",,,,,,,,Europe,UK,,,,,,
G000222,Electronic Frontier Foundation (EFF),https://www.eff.org/,"EFF is dedicated to advancing digital civil liberties through litigation, policy analysis, activism, and technology development. One of EFF’s issue areas is free speech online, and the organization has produced analysis on the need to balance content moderation strategies aimed at combating misinformation with freedom of expression and on how the United States should think about regulating deepfakes.",,Civil Society/NGO,,,Democracy,Civil Liberties (human rights),,North America,USA,,N,Y,,,
G000223,Ellinika Hoaxes,https://www.ellinikahoaxes.gr/,"Ellinika Hoaxes conducts fact-checking of Greek online content and has created a web tool to inform users when they visit sites that are likely to be satirical, conspiratorial, or otherwise false and misleading. The organization is one of Facebook's Third-Party Fact-Checkers and a member of the International Fact-Checking Network.",,Civil Society/NGO,Fact checking,Journalism,,,,Europe,Greece,,Y,Y,,,
G000224,Emergent,http://www.emergent.info/about,Emergent is a real-time rumor tracker and part of a research project with the Tow Center for Digital Journalism at Columbia University. It focuses on how unverified information and rumor are reported in the media. It aims to develop best practices for debunking misinformation.,Yes,Education/academia,Research (primary/secondary),Fact checking,,,,North America,USA,,Y,Y,,,
G000225,Estadão Verifica,https://politica.estadao.com.br/blogs/estadao-verifica,Estadão Verifica is a Brazilian fact-checking initiative housed at Estadão and a member of the International Fact-Checking Network.,,Media,Fact checking,Journalism,,,,South America,Brazil,,Y,Y,,,
G000226,Estonia,,,,,,,,,,,,,,,,,
G000227,Ethical Journalism Network (EJN),https://ethicaljournalismnetwork.org/supporters/african-media-initiative,"EJN provides training and education to journalists to advance quality media and trust in media institutions. Through its series ""Saving the News: Ethics and the fight for the future of journalism,"" EJN has written on challenges to journalism in an era of declining trust, deepfakes, and journalistic self-regulation.",,Civil Society/NGO,Fact checking,Journalism,,,,Europe,,,N,Y,,,
G000228,EU,,,,,,,,,,,,,,,,,
G000229,EU Disinfo Lab,https://www.disinfo.eu,"EU DisinfoLab is an independent non-profit organisation focused on tackling sophisticated disinformation campaigns targeting the EU, its member states, core institutions, and core values.",,Civil Society/NGO,Investigations,,,,,Europe,,,Y,Y,,,
G000230,EU External Action Service,,,,,,,,,,,,,,,,,
G000231,EU vs Disinformation,,,,,,,,,,,,,Y,N,,,
G000232,Eurasia Partnership Foundation,https://epfarmenia.am,,,,,,,,,,Armena,,,,,,Armenia/Eurasia
G000233,Eurasian States in Transition Research Center (EAST Center),http://east-center.org/,"EAST Center provides research and analysis on influence operations in Central and Eastern European countries and coordinates the Disinformation Resilience Index. Implemented with regional partners, the Disinformation Resilience Index assesses the vulnerability and resilience of fourteen Central and Eastern European countries to foreign (namely, Russian) disinformation campaigns.",,Civil Society/NGO,Research (primary/secondary),,,,,Europe,,,N,Y,,,
G000234,Europe fit for the Digital Age,,,,,,,,,,,,,,,,,
G000235,European Center of Excellence for Countering Hybrid Threats (Hybrid CoE),https://www.hybridcoe.fi/,"The Hybrid CoE is a platform for EU and NATO member states to coordinate and share best practices on defending against hybrid threats, including influence operations. The Hybrid CoE engages in research to better understand and respond to threats, identify vulnerabilities, and build resilience, and it provides training and education for governments.",,Government,Research (primary/secondary),Public Policy,,,,Europe,Finland,,N,Y,,,
G000236,European Conservatives and Reformist Group,,,,,,,,,,,,,,,,,
G000237,European Council on Foreign Relations (ECFR),https://www.ecfr.eu/,"ECFR focuses on European foreign policy and security issues and provides research and analysis, convenes experts and leaders, and engages with national country governments on policy development. ECFR has published a paper on European strategic sovereignty that covers hybrid threats, and its scholars have offered commentary on countering online radicalization, strategies for fighting fake news, Russian cyber threats (including disinformation), and information manipulation in Europe.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,Europe,,,N,Y,,,
G000238,European Digital Media Observatory (EDMO),https://edmo.eu,,,,,,,,,,,,,,,,
G000239,European Digital Rights (EDRi),https://edri.org/,"EDRi is a coalition of European digital human rights groups that seeks to provide public policy research and defend the importance of civil and human rights in the digital environment. To this end, EDRi has addressed influence operations through its work with Civil Liberties Union for Europe and Access Now to produce a joint report on the disinformation debate and policy responses in the European Union.",,Civil Society/NGO,,,Democracy,Civil Liberties (human rights),,Europe,,,N,Y,,,
G000240,European Parliamentary Research Service (EPRS),https://epthinktank.eu/,"EPRS is the in-house research arm of the European Parliament. Through the European Parliament Think Tank, EPRS produces reports, briefings, and in-depth analyses meant to drive legislative development. The think tank has produced a number of reports and briefings on disinformation, information warfare, and hybrid threats that examine topics like artificial intelligence's impact on disinformation, the functioning of the rule of law, the EU and the Western Balkans, NATO strategic communications, influence operations in the EU.",,Government,Research (primary/secondary),Public Policy,,,,Europe,Europe,,N,Y,,,
G000241,European People's Party (Christian Democrats),,,,,,,,,,,,,,,,,
G000242,European Union: European External Action Service,https://eeas.europa.eu/headquarters/headquarters-homepage_en,"The EEAS is the EU's diplomatic service. Countering disinformation is one of its key focus areas. The Commission put forward a European approach for tackling online disinformation in its Communication of April 2018, seeking to promote a more transparent, trustworthy and accountable online environment. The Communication proposed measures to tackle disinformation online, including a self-regulatory EU-wide Code of Practice on Disinformation, signed by large online platforms and the advertising industry, as well as support for an independent network of fact-checkers.",,Government,Research (primary/secondary),Journalism,,,,Europe,Europe,,N,Y,,,
G000243,European Values (Kremlin Watch),https://www.kremlinwatch.eu/,"European Values runs Kremlin Watch, a program designed to provide monitoring and analysis of Kremlin-backed influence operations. Kremlin Watch provides weekly briefings and other opportunities for information-sharing, policy development advice to national governments, and educational activities for members of the public. European Values is part of the Center for European Policy Analysis's #DisinfoNet.",,Civil Society/NGO,Fact checking,Journalism,,,,Europe,,,N,Y,,,
G000244,European Values Center for Security Policy,https://www.europeanvalues.net/data/,,,,,,,,,,,,,,,,
G000245,eWitness Media Inc,https://ewitness.commons.gc.cuny.edu/,"eWitness provides a digital alibi for images and videos. In today’s digitized world, eWitness helps companies stand by their content, to confidently attest to the time, geolocation and content of the media that appears on their platform . This attestation then eliminates questions against the validity of the media, allowing audiences to focus on the truth and context that surround the media.",Yes,Technology,,,,,,North America,USA,,N,Y,,no site found,
G000246,Executive round table on digital journalism ethics,,,,,,,,,,,,,Y,N,,,
G000247,Fabula AI,https://en.wikipedia.org/wiki/Fabula_AI,"Fabula AI, was acquired by Twitter in June 2019. The tool evaluates the veracity of an article based on the way it spreads online. This means that it can detect a fake news story within 2-20 hours of publishing.",Yes,Technology,,,,,,Europe,UK,,N,Y,,,
G000248,Facebook,,,Yes,,,,,,,,,,,,,,
G000249,Facebook (UK),,,,,,,,,,,UK,,,,,,
G000250,Facebook Flagging Fake,,,,,,,,,,,,,Y,N,,,
G000251,Facebook Third-Party Fact-Check,https://www.facebook.com/help/1952307158131536,"Facebook support the use of both technology and human review to remove fake accounts, promote news literacy and disrupt the financial incentives of spammers. In certain countries, they also work with third-party fact-checkers who are certified through the non-partisan International Fact-Checking Network to help identify and review false news.",,Technology,Fact checking,Journalism,,,,Global,USA,,N,Y,,,
G000252,FacktenFinder,,,,,,,,,,,,,Y,N,,,
G000253,Fact Check - the journal.ie,,,,,,,,,,,,,Y,N,,,
G000254,Fact Check EU,,,,,,,,,,,,,Y,N,,,
G000255,Fact Checking Chile,http://factchecking.cl/,Fact Checking Chile is a fact-checking initiative based at the Pontifical Catholic University of Chile that trains students as fact-checkers and content verifiers.,,Education/academia,Fact checking,Journalism,,,,South America,Chile,,Y,Y,,,
G000256,Factba.se,,,,,,,,,,,,,Y,N,,,
G000257,FactCheck (The Conversation),https://theconversation.com/us,The Conversation is an online news platform for academics and researchers to share information and evidence in support of sound policy. The organization has a dedicated fact-checking team dedicated to ensuring information integrity.,,Media,Fact checking,Journalism,,,,Global,USA,,N,Y,,,
G000258,FactCheck Georgia,https://factcheck.ge/en,FactCheck is an online fact-checking platform dedicated to assessing statements made by Georgian politicians and public figures.,,Civil Society/NGO,Fact checking,Journalism,,,,Europe,Georgia,,N,Y,,,
G000259,FactCheck.kz,http://factcheck.kz/,FactCheck.kz is a fact-checking initiative based in Kazakhstan and a member of the International Fact-Checking Network.,,Civil Society/NGO,Fact checking,Journalism,,,,Asia,Kazakhstan,,Y,Y,,,
G000260,FactChecker.in,https://factchecker.in/,FactChecker.in is an Indian fact-checking initiative run by the Spending & Policy Research Foundation and a member of the International Fact-Checking Network.,,Civil Society/NGO,Fact checking,Journalism,,,,Asia,India,,Y,Y,,,
G000261,Factcheckers,http://factcheckers.it/,Factcheckers is an Italian media literacy organization that provides resources and training to high schools and universities around the world on fact-checking and critical evaluation of information.,,Civil Society/NGO,Fact checking,Journalism,,,,Europe,Italy,,Y,Y,,,
G000262,FactCrescendo,https://www.factcrescendo.com/,FactCrescendo is an Indian fact-checking organization and a member of the International Fact-Checking Network.,,Civil Society/NGO,Fact checking,Journalism,,,,Asia,India,,Y,Y,,,
G000263,FactLink,,,,,,,,,,,,,Y,N,,,
G000264,Factly,https://factly.in/,Factly is an Indian organization that conducts fact-checking and helps make government data and information accessible to citizens. The organization is part of the International Fact-Checking Network.,,Civil Society/NGO,Fact checking,Journalism,,,,Asia,India,,Y,Y,,,
G000265,Factmata,https://factmata.com/,"Factmata is building an API to identify, classify, and build trust scores for online content to help users rate the trustworthiness of a source. The company also provides moderation services to help flag potentially harmful content for trust and safety teams at major online platforms, and they organize a blacklist to help clients know which platforms or websites to avoid entirely.",Yes,Technology,,,,,,Europe,UK,,Y,Y,,,
G000266,Fake it to Make it,http://www.fakeittomakeitgame.com,"Fake It To Make It gamifies the experience of spreading false news for public consumption, deepening players’ understanding of the process and motives behind false news dissemination.",,Civil Society/NGO,Societal Resilience,,,,,Europe,Sweden,,N,Y,,,
G000267,Fake News Tracker,,,,,Fact checking,Journalism,,,,Europe,Serbia,,N,N,,,
G000268,Fake Off (20 Minutes),https://www.20minutes.fr/,"Through its Fake Off section, 20 minutes conducts fact-checking, particularly on stories that have gained significant online attention. The organization is one of Facebook's Third-Party Fact-Checkers.",,Media,Fact checking,Journalism,,,,Europe,France,,Y,Y,,,
G000269,FakeHunter,https://fakehunter.pap.pl/en/,"FakeHunter is a community-based project for verifying content published on the Internet, launched by the Polish Press Agency (PAP) together with GovTech Polska. It aims to demystify and refute false information related to the SARS-CoV-2 virus.",,Civil Society/NGO,Fact checking,Journalism,,,,Europe,Poland,,N,Y,,,
G000270,FakerFact,https://www.fakerfact.org/,"FakerFact has built an artificial intelligence tool called ""Walt"" to help readers assess the potential biases in news sources, rather than just determining the veracity of the content.",Yes,Technology,,,,,,Global,,,Y,Y,,,
G000271,Faking News: Fraudulent News and the Fight for the Truth,,,,,,,,,,,,,Y,N,,,
G000272,Faktabaari,https://faktabaari.fi/in-english/,Faktabaari is a Finnish fact-checking organization that provides media literacy resources to EU schools.,,Civil Society/NGO,Fact checking,Education (public),,,,Europe,Finland,,Y,Y,,,
G000273,Faktisk,https://www.faktisk.no/,Faktisk is a Norweigan fact-checking organization and a member of the International Fact-Checking Network. They also run a school project called Think that aims to educate young students about critical thinking.,,Civil Society/NGO,Fact checking,Education (public),,,,Europe,Norway,,Y,Y,,,
G000274,Faktograf,https://faktograf.hr/,Faktograf conducts fact-checking of statements made by politicians and public figures in Croatia. The organization is a member of the International Fact-Checking Network and is one of Facebook's Third-Party Fact-Checkers.,,Civil Society/NGO,Fact checking,Journalism,,,,Europe,Croatia,,Y,Y,,,
G000275,Faktograf.hr,,,,,,,,,,,,,Y,N,,,
G000276,Fandango,https://fandango-project.eu/,"The FANDANGO (Fake news discovery and propagation from big Data Analysis and artificial intelligence operations) project aggregates a large array of media sources so that big data/Machine Learning tools can analyze data to understand patterns within the ecosystem and provide insight to analysts. This technology can support government stakeholders’ mission by facilitating a high-level overview of the disinformation ecosystem, helping to map out and highlight patterns, connections and detection criteria.",Yes,Government,,,,,,Europe,,,N,Y,,,
G000277,Fatabyyano,https://fatabyyano.net/,,,,Fact checking,,,,,Africa,North Africa,,N,N,,,
G000278,Fatima,,,,,,,,,,,,,Y,N,,,
G000279,FCO,,,,,,,,,,Europe,UK,,,,,,
G000280,Federation of American Scientists,https://fas.org/ncov/disinformation-reports/,"Upon recognition of the threat that false information poses to science, the Federation of American Scientists established the Disinformation Research Group (FAS DRG). FAS DRG is composed of scientists, communications experts, data-scientists, and technologists with the intended purpose of detecting, understanding, and effectively exposing disinformation and false narratives surrounding COVID-19. FAS DRG uses multiple methods, technologies, and resources to execute the mission.",,,,,,,Y,North America,USA,,N,N,,,
G000281,FeedReflect,https://chrome.google.com/webstore/detail/feedreflect/bigmeipgaifggglelcnpnpbaefimpooc?hl=en-US,FeedReflect is a browser extension for Google Chrome that urges users to consider the quality of the news content they consume on Twitter,Yes,Technology,,,,,,North America,USA,,N,Y,,,
G000282,FiB,,,,,,,,,,,,,Y,N,,,
G000283,Field guide to fake news,,,,,,,,,,,,,Y,N,,,
G000284,Finding the truth amongst fakes,,,,,,,,,,,,,Y,N,,,
G000285,Finnish Institute of International Affairs (FIIA),https://www.fiia.fi/,"FIIA conducts research and policy analysis on international relations and the European Union. The institute has research programs on the European Union, Eastern European countries and their relationship with Russia, and global security, and it has published a number of reports on information warfare, hybrid threats, disinformation, and related concepts.",,Civil Society/NGO,Research (primary/secondary),Public Policy,,,,Europe,Finland,,N,Y,,,
G000286,FireEye: Information Operations Intelligence Analysis,https://www.fireeye.com/,,,Technology,Research (primary/secondary),,,,,North America,USA,,N,N,,,
G000287,First Draft News,https://firstdraftnews.org,"First Draft is a nonprofit that aims to provide practical and ethical guidance for journalists and publishers in the digital age. The organization coordinates an international fact-checking initiative, trains journalists and fact-checkers in countries with upcoming elections, and conducts and disseminates research on best practices for producers and consumers of digital news. The organization recently published a series of guides on responsible reporting, including one on reporting on deepfakes.",,Media,Fact checking,Journalism,,,,Europe,UK,,Y,Y,,,
G000288,Fiskkit,http://fiskkit.com/,"Fiskkit is an online platform where users can assess the credibility of news articles, and the organization has also created a tool designed to help schoolchildren evaluate sources.",,Civil Society/NGO,Fact checking,Journalism,,,,North America,USA,,Y,Y,,,
G000289,Ford Foundation,,,,,,,,,,,,,,,,,
G000290,Fortis AI,https://www.alionscience.com,"Fortis is an information operations (IO) platform that takes data from multiple sources and distills it into insights and actionable results. The system aims to alert analysts to adversarial IO, and to provide meaningful analytics, theme and narrative detections, and support for conducting information operations.",Yes,Technology,,,,,,North America,USA,,N,Y,,,
